(-6.304742, 3.3077)
(-7.509690649536021, 4.183485546983683)
(-10.37892025091501, 6.5619099572958905)
(-14.630876265687444, 10.189729018905961)
(-19.9840041554038, 14.813698519783234)
(-26.156749381614553, 20.180574247897045)
(-32.86755740587018, 26.037111991216733)
(-39.83487368972116, 32.13006753771163)
(-46.77714369471798, 38.20619667535109)
(-53.41281288241109, 44.01225519210444)
(-59.46032671435099, 49.29499887594103)
(-64.63813065208815, 53.801183514830164)
(-68.66467015717306, 57.27756489674121)
(-71.31273369267052, 59.51883241166562)
(-72.81436161152808, 60.724761600600374)
(-73.63236243925112, 61.29867858942944)
(-74.23128822980208, 61.64544739478336)
(-75.0756910371433, 62.16993203329267)
(-76.63012291523718, 63.27699652158793)
(-79.33127857794169, 65.3469844223069)
(-83.25625265324032, 68.44371383914415)
(-88.2319478388721, 72.4107801376604)
(-94.0801978284304, 77.08731686895452)
(-100.62283631550865, 82.31245758412544)
(-107.68169699370017, 87.92533583427212)
(-115.07485673569035, 93.76299140026605)
(-122.5407756661857, 99.6180916585968)
(-129.74189616461024, 105.24093739556395)
(-136.33762407287992, 110.38013705918841)
(-141.98736523291078, 114.78429909749114)
(-146.35052548661884, 118.20203195849305)
(-149.09692386288256, 120.3896470463113)
(-150.30806061257118, 121.40798908325185)
(-150.6042323152272, 121.7164670812561)
(-150.6421502190075, 121.8014271076167)
(-151.07852557206903, 122.1492152296264)
(-152.57006962256864, 123.24617751457791)
(-155.7687183934983, 125.57517169130986)
(-160.8760283189164, 129.29004975914836)
(-167.28017001705695, 133.95047916668474)
(-174.28388604521413, 139.0537215115328)
(-181.1899189606822, 144.09703839130628)
(-187.30101132075538, 148.577691403619)
(-191.9207157153428, 151.99353090952334)
(-194.67880049391164, 154.07951366406138)
(-196.0293200910515, 155.16971984146224)
(-196.55452519898745, 155.69140767826627)
(-196.83666650994456, 156.07183541101355)
(-197.45799471614802, 156.73826127624437)
(-199.00075442772814, 158.1179390816424)
(-201.8957881366687, 160.52787472078774)
(-206.0293666019071, 163.88852813147673)
(-211.16536664989493, 168.03123450265346)
(-217.0676651070837, 172.78732902326206)
(-223.500138799925, 177.98814688224664)
(-230.22666455487024, 183.46502326855133)
(-237.009301803388, 189.0432356867556)
(-243.60071585503334, 194.51674944680536)
(-249.75054569452476, 199.66944260693978)
(-255.2084288436495, 204.28518834920087)
(-259.72400282419477, 208.14785985563057)
(-263.0469051579478, 211.04133030827097)
