(0.057223, -0.024722)
(2.7998244388267133, 0.0689968353327509)
(3.8152121057485595, 0.013246129587771592)
(3.2605960185573166, -0.18996382656421543)
(1.2931861950447572, -0.5386227424524875)
(-1.92980734699734, -1.0307203274063224)
(-6.251174589777207, -1.6642462907549975)
(-11.513705515503055, -2.437190341827791)
(-17.560190106383118, -3.347542189953979)
(-24.233418344625626, -4.39329154446284)
(-31.3761802124388, -5.5724281146836505)
(-38.83126569203086, -6.882941609945691)
(-46.44146476561002, -8.322821739578231)
(-54.04956741538455, -9.890058212910558)
(-61.5077470266876, -11.581146217563187)
(-68.78413056311355, -13.374112679949938)
(-75.92505140365108, -15.234528364896526)
(-82.97830788280638, -17.127730709533576)
(-89.99169833508553, -19.019057150991696)
(-97.01302109499474, -20.873845126401534)
(-104.09007449704009, -22.65743207289368)
(-111.25999804800426, -24.341994607545537)
(-118.51397407813191, -25.929197524590553)
(-125.83080145823271, -27.428651398946105)
(-133.18927887942982, -28.849966920824528)
(-140.56820503284644, -30.202754780438145)
(-147.94637860960563, -31.49662566799926)
(-155.3026266863571, -32.74129365874559)
(-162.6179725384503, -33.95447176561918)
(-169.87716215047175, -35.16743175618685)
(-177.0653021083264, -36.41275877074519)
(-184.167498997919, -37.72303794959086)
(-191.1688594051545, -39.13085443302047)
(-198.0544899159378, -40.66879336133065)
(-204.81183183104392, -42.365715578001996)
(-211.46002254032572, -44.199920872940524)
(-218.0410422839259, -46.11327051600413)
(-224.59737560039926, -48.04682132893846)
(-231.17150702830057, -49.941630133489156)
(-237.80592110618448, -51.73875375140182)
(-244.54310237260586, -53.37924900442212)
(-251.41071727604617, -54.81824845057693)
(-258.3675526665316, -56.07631352963321)
(-265.3523966975133, -57.193002487124915)
(-272.30403536205614, -58.20787562074169)
(-279.1612546532249, -59.160493228173216)
(-285.8628405640844, -60.090415607109186)
(-292.3478440639598, -61.03702719646808)
(-298.58066445597746, -62.022889317393435)
(-304.5716793018931, -63.04004855715872)
(-310.33612153987946, -64.0773290991528)
(-315.8892241081093, -65.12355512676451)
(-321.2462199447556, -66.16755082338277)
(-326.422341987991, -67.19814037239638)
(-331.43482204254275, -68.20555243107951)
(-336.3308008793593, -69.20103074743405)
(-341.18044325081195, -70.21199652791812)
(-346.0545061660285, -71.26628711940036)
(-351.0237466341371, -72.39173986874937)
(-356.1589216642659, -73.61619212283372)
(-361.53078826554275, -74.96748122852205)
(-367.18562277315715, -76.46223145340066)
(-373.04698110678163, -78.06085644960473)
(-379.0000455254948, -79.70619327396541)
(-384.9299852392334, -81.34107300631074)
(-390.72196945793394, -82.9083267264687)
